author,rating,review
suudekeskin,1,Bİ TANE DAR PANTOLON KOYMAMIŞSINIZ MALLAR SİZİ
ayıboğan mali,1,Lan şu pantolonları adam gibi yapın 😠
Kkağğan,1,Oyun leşş
Hllrslnky,3,Neden habire klavyem bitmojiye bağlanıyor emoji seçeceğine tıklıyorum bitmoji çıkıyor benim yeniden emojilere girmem için de oradan çıkıp yeniden girmem gerekiyor yapabileceğim bir şey var mı ne yapmalıyım yardım eder misiniz çok seviyorum uygulama güzel silmekte istemiyorum benim gibi olan kullanıcılarınız var mı ?✨
Mhabibc27,5,"for people’s unique view,should come new update such as;piecing,earing and tattoos."
instagram: emreozdemird,5,"Harley Davidson tarzı kıyafetler gelsin (bot,ceket,şapka vb.)"
Gözlüklü panda yt,5,Uygulama çok güzel ama bitmoji mağzasında ki ürünler çok pahalı
wezircan,4,Kaş piercingi gelsin
eren.ddincer,2,I cannot use friendmojis in groups. They just disappear.
Tahminler tutmuyor,5,İyiki var dedigim uygulamalardan biri💕💕💕
Engin_101_,5,Musluman kadinlar İçin onlar aslinda bir peruk yaaa 😂yahu saci basi birakinda kalbinizi ortun siz ilk olarak
Derya KAPUCU,1,Güzel olmuş
iremkay64,4,Müslüman kadınlar için daha çok kıyafet Ve başörtüsü tercihi olmalı
mskldlmdşşsis,4,Kapalı bayanlar için daha çok kıyafet ve daha çok başörtü rengi gelmeli🧕🏼🙏🏻
K. Çelik,3,You should let us use these stickers on Whatsapp.
angelmer2112,3,Ayakkabı ve çanta seçeneğide gelmeli böyle bi uygulamaya..
progameboy,4,Uygulama güzel ama gözlüklerini beğenmedim gözlük ve saç çeşidi daha çok gelirse süper olur 👍🏻
Babanı Trabzonspor,1,Kardeşim tesettür neden yok?Önceden vardı hatırlıyorum.Biz insan değil miyiz?Siliyorum böyle uygulama mı olur ?
beleşçi0007,1,EMOJİLER AÇILMIYORRR!!!!!
bsr54,4,Çok güzel ama çeşitli mesleklerle ilgili emojiler olmalı çok daha güzel olur 🥰
Hy41,1,Ah birde video özelliği olsa ne iyi olurdu. Snapchatte artık eskisi kadar sık yok videolar. Oysa çok da eğlenceliydi 🥺
oklkhgbcdf,1,Neden türkçe olarak yok 😏
HARLEY FRANCES QUEN,5,yeni kıyafetler çok güzel yükleyin 👍👍
reklamnefreti008,4,I have curly hair and I have LONG curly hair pls more
İrem Eser,4,need some piercing and new hairstyle
afacan dönnis,1,İğrenç ve gereksiz bir uygulama
4262536,1,Keşke Batman v Superman bitmojisini kaldırmasaydınız.......
damla naz ışıkla,5,Uygulama berbat
fietser-tr,1,"Ne saç tipim var ne göz tipim, vasat, yetersiz ve çok zor bir uygulama. Birde klavye erişimi verdim. Silin gitsin."
se1cuk,1,Bitmojiyi çok seviyorum. Ve sık sık kullanıyorum ama klavye de tuşlar İngilizce karakterlerle kısıtlı içerik Türkçe karakterle yazılı mesela “Günaydın” araması yapmak istiyorum “gunaydın” yazabiliyorum tabi ki istediğim şey olmuyor
Bahtiyar Arslan,5,Uygulama Harika friendmoji uygulama içindende gözükse efsane olur !
Aaemir,4,We want more Crop Tops
jlbjkbb,1,Acaba
mhmtkrgz45,1,Uygulamaya girerken ağ bağlantısı sorunu oluştu uyarısı geliyor çözülsün lütfen
sunsal123,3,Kendini ifade et yeri nereden açılıyor
Umitiri,4,Mükemmel bir uygulama fakat türkçe karakterler klavyede olmadığı için Türkçe karakterli bitmojiler kullanılamıyor. Örneğin günaydın kategorisini klavye kullanarak aradığımızda gunaydın yazabiliyorsunuz fakat kategori adı günaydın bu yüzden bulamıyor. Günaydın kategorisi anasayfada direk link olarak olduğundan problem değil fakat o tarzda binlerce kelimedeki emojilerde kullanılamıyor
İdil.,4,Need some new hairstyles!
ikizzzzz,1,Üye olamıyorum sürekli hata veriyor. Daha önce kayıtlı olmadığım halde mail adresimi kabul etmiyor
takma588558,1,Snapchat te artık video çıkmıyor😞
Esra güneş,5,"Allah aşına hijab bölümü geldin şu kıyafetlere, avatarı giyitecek elbise bulamıyorum. Bulunca da biri anyada biri konyada oluyor. 🙏🏻🙏🏻"
Tutq,1,I couldn’t select a photo from camera roll. It asked me to either take a new selfie or to go on with ready types.
tarcin karamel,5,"Why dont you have more choice
Dresses are not fit for winter"
hhhhhsjjrjrjrkrklrtk,1,3 d olarak kullanamıyorum
Ekmeklı kadayıf,3,Herkes kullanıyor iyi galiba indiriyorum şuan
Ece azman__,5,Sadece güncellemeler daha hızlı gelme dileyi ile
Varzakov,3,çokta gerekli olduğunu düşünmüyorum.
Omur sirin doganay,5,Yuklenmiyooooooooooooooooooooooooooooo
RaifPhoneX,4,Neden 3d olmuyooor
trrrriders,2,Tr versiyonu yokmu bunun
durrrrusu,2,eski kiyafetler geri gelsinnn
lusuşd,5,Niye 12 yaşve üstü bende 11 im
kalallalala,4,Eskiden daha hüzeldi
"yzc...clb,,,",5,Ben seviyorum çünkü tatlılar
özggggggggf,4,Ense topuzu gelsin ve kombinimizi kendimiz hazırlayalım
