rating,review
negative,Son sürümde görüntülü aramada kamera kendiliğinden kapanıyor 1 saat içinde 10 defadan fazla kapandı.
negative,BaZi mesajlarimi yukleme basarisiz diyor fotoğraflarda yüklemiyor duzeltilsin lütfen
negative,Oturumumu acamiyorum baglanti kesik diyor ama telefonun internet e bagli suan
negative,ANILARI İZLERKEN UYGULAMA KENDİ KENDİNE KAPANIYOR UYGULAMADAN ATIYOR
negative,Arkadaşlarımın anılardan attığı snapler yüklenmiyor
neutral,Snapchat in bana özel kısmına kaydettiğim fotoğraflarım açılmıyor.
negative,Güncelleme yaptıktan sonra direk uygulamadan atıyor düzeltir misiniz şunu
negative,Şunu düzeltirmisiniz? Kamerada sıkıntılı yok lâkin anılara girince 5 saniye içerisinde atıyor. Acil düzelmesi gerek.
negative,Arkadaşlarımın bana attığı snapler açılıyor fakat chatden attığı fotoğraflar açılmıyor yükleme başarısızlığı diyor ACİL BU SORUNU ÇÖZÜN LÜTFEN
negative,Siz napıyorsunuz kardeşim olacak şey değil uygulamanın yeni sürümü ile uygulamayı açamıyorum ve telefonuma bulaştı
neutral,Anılarıma giremeden donup kapanıyor duzeltir misiniz acilen 😡
negative,TELEFONUMDA FAZLADAN YER OLMASINA RAĞMEN İNDİREMİYORUM İPHONE ALTI S PLUS İNDİREMİYORUM
negative,Yeni güncelleme ile anılara girilmiyor.
neutral,Uygulama güzel fakat şarj olayı üzücü 🙄
negative,Çok kötü ilk başakta e mail istiyor ve şifre e mailim doğru şifrem doğru ama neyin şifresi çok saçma 160mb ınıza yazık  sıfır yıldız olsa vericem bir bile fazla
negative,2 senedir kaydettiğim tüm snapler sebepsiz bi şekilde silindi gerçekten berbat bi uygulama önceden de snap günlerim gidiyordu snapleşmeme rağmen kaydettiğim snaplerin tekrar gelmesini istiyorum!
negative,Arkadaşlarımdan snap alabiliyorum fakat arkadaşlarımın bana gönderdiği foto veya videoyu hiçbir şekilde açamıyorum yükleme başarısız diyor ! Lütfen en yakın zaman da çözüm üretirseniz sevinirim...
negative,Benim ilk bi hesabım vardı  sonra sildim uygulamayı tekrar yükledim doğru şifre yazmama rağmen açmadı hesabımı bende Yeni açmak zorunda kaldım çoğu filtreler silinip Yenisi getiriliyor sadece köpek filtresi sabit ve tabiiki şarjım hüp diye bitiyo kasıyo vs. Tepeden tırnağa sorunlu mübarek iyice bozdunuz ya
neutral,aç uygulama seni çok seviyorum ama çok açsın şarjımı sağolsun 3 saniyede yiyor
positive,Fotoğraflara girmek istediğimde kendiliğinden kapanıyo giremiyorum (telefonumu değiştirdim yeni telefondan giriş yaptığımda oldu)
negative,"Uygulama hızlı şarj bitiriyor ve telefonu çok ısıtıyor ,üstelik internetimin hızlı olmasına rağmen eski snapleri çok geç açıyor"
positive,Ben çok beğendim
neutral,Snapchat için de son online olduğu zamanı görme özelliği gelsin artık. Bir o kaldı onu da getirmiyorsunuz allah alllaaah
negative,Yeni lensleri kullanamıyorum ama arladaşım kullanıyor yardım istiyorum ve bilg istiyiroum neden kullanamadığıma dair
negative,Video atmak istediğimde program kapanıyorrr
negative,Kum saati bile çıkmadan kendi kendine streaklar gidiyor ve arkadaşlarımla gün içinde çoğu kez snapleşmeme rağmen bile gitti
positive,Arkadaşımdan gelen şeylerde kutu içinde ? Çıkıyor
positive,Geçmiş yıllardaki snaplerim i bulamıyorum
negative,Şarj çabuk bitiyor efektler çok çabuk değişiyor bi düzenleme yapılmalı lütfen! Yapılırsa 5 yıldız
negative,Snap streakları 24 saat yerine 48 olmalı
negative,200 günlük ateş sürekli konuşmamıza rağmen kendiliğinden gitti yardım edin lütfen
negative,"Even though I see that someone snaps me or snap texts me on Snapchat from notifications, when I open the app it doesn’t show any of the mentioned snaps on the app!!!!"
positive,Yazıyorum sonra ne yazdığımı unutuyorum snapchat kardeş şu yazışmalar kalıcı olsun millet beni balık hafızalı sanıyor
negative,Yükleme başarız hatası veriyor
negative,Bir süredir sohbet bölümü kasıyor
neutral,Sanırım androidten atılanlar applerde açılmıyor
positive,Çok güzel bi uygulama
negative,Şarj hızlı bitiyor😭😭
neutral,Arkadaşımla olan sohbetimizde fotoğraf atıldığı zaman görünmüyor lütfen kısa sürede bir düzeltme gelsin
negative,Millet snap atıyor görmediğim halde direk açıldı diyor. (Sadece gruplarda oluyor.)
neutral,Arkadaşların gönderdiği Fotoğraflar görünmüyor (snap falan görünüyor) lütfen güncelleme ile bunu düzeltin.
negative,"Every single time when i'm trying to take a video, application is closing without any reason. Please solve this problem. I can not stand anymore this nonsense thing. Thanks."
negative,Programı dün sildim bugün geri yükledim. Fakat kullanıcı adım var şifrem doğru olmasına rağmen giriş yapamıyorum. Giriş hatası da vermiyor. İnternette çok iyi çekiyor. Öyle dönüp duruyor
positive,Güzelmiş
positive,Snap’in ondan gelmediği sürece ne anlamı var ki bu uygulamanın
negative,Snapler ben görmeden açılıyor. Ben açmadığım halde açıldı diyor. Gruplarda.
negative,"Yani böyle bir uygulama olamaz,kullanmaya korkuyorum
Gözümün önünde şarj birer ikişer eksiliyor.Ve pilimde de bir problem yok."
negative,Video inmiyo
negative,Hala kullananlar varmıı
neutral,Lütfen eski versiyon köpek filtresi olsun şu an ki kötü.
neutral,Markayı netlemiyor
negative,Son güncellemeden sonra çektiğim fotoğrafların netliği tamamen bozuldu göz çevresinde ciddi bozulmalar var ve bütün şarjımı saniyeler içinde yarıya indirip telefonu sanki ocağın üstünde ısıtmışım gibi bir hale getiriyor telefon patlar diye korkudan uygulamaya giremiyorum bu sorunu acil çözmelisiniz yoksa çok fazla kullanıcı kaybedeceksiniz
negative,Snapleri yüklemeden açıldı gözükmesi??? bi el atın şuna
